"customer_id","x","t.x","T.cal","pred_30d","p_alive"
10001,4,664,704,0.136061981395437,0.999762120072329
10002,0,0,78,0.132641228143846,1
10003,4,599,662,0.136594280062887,0.999735532927566
10004,1,612,653,0.128267358826925,0.999758620642382
10006,2,102,216,0.136675840343963,0.999660964260329
10007,6,392,545,0.143776662254812,0.999590410723009
10008,1,560,605,0.128847300668035,0.999754225096732
10009,2,452,519,0.132748307399707,0.999729247306743
10010,4,306,693,0.13607265628001,0.998813158336096
10011,1,467,711,0.12752985141887,0.999421631736721
10012,3,653,729,0.132944136953094,0.999719976572933
10013,5,369,626,0.139823553122543,0.999337454238096
10014,2,200,628,0.131243612393352,0.998638430838897
10015,3,429,648,0.133921009059147,0.99946359632903
10016,1,584,715,0.127510789723962,0.999645393223892
10017,2,565,597,0.131776464709491,0.999768506946935
10018,1,551,726,0.12737063548845,0.999571643925168
10019,1,58,246,0.133331448394045,0.999529323408615
10020,3,382,453,0.13645459540379,0.99972385505638
10021,2,145,503,0.1328522147412,0.998990074728372
10022,3,638,651,0.133926794073066,0.999788349640569
10023,0,0,616,0.125919796804033,1
10024,0,0,689,0.125059908733076,1
10025,2,392,528,0.132621890573772,0.999631672892671
10026,0,0,333,0.129368174618392,1
10027,8,674,682,0.147577737583106,0.999799182901239
10028,2,260,313,0.135401738555647,0.999744401421485
10029,2,629,677,0.130787022230098,0.999751979733254
10030,4,301,404,0.139973273717532,0.99967849521883
10031,3,166,655,0.133655495878719,0.998137736815947
10032,3,394,530,0.135444079094105,0.999629466709586
10033,2,615,698,0.130524965484743,0.999711030710536
10034,1,9,398,0.131293358825021,0.998850713779767
10035,2,435,504,0.132937520649638,0.999726704871652
10036,3,563,595,0.134632050988627,0.999769398021655
10037,0,0,359,0.129043503329075,1
10038,2,411,657,0.130986803297642,0.999403713682347
10039,3,562,678,0.133571606624994,0.999664301967542
10040,1,227,719,0.127289154675836,0.998280337527594
10041,2,427,518,0.132756865143487,0.999698657789313
10042,0,0,76,0.132667553860074,1
10043,3,502,522,0.135567648794889,0.999781380958144
10044,0,0,39,0.133156471454548,1
10046,1,144,297,0.132680454139738,0.999599561991511
10047,5,655,669,0.139323092275048,0.999789759471456
10048,1,39,449,0.130639017274423,0.998746926557341
10049,0,0,49,0.133023976559091,1
10050,5,533,549,0.14090751637609,0.999787615112094
10051,2,453,589,0.131858134006953,0.999632962873796
10052,2,159,302,0.135528696762776,0.999614557373492
10053,1,475,628,0.128549687312705,0.999608034803673
10054,6,517,706,0.141604525854547,0.999518618445717
10055,1,119,574,0.129062883835147,0.998499918887833
